Prompt,Preview Input,Preview Output,Input Test Case1,Input Test Case2
"Design a lesson plan aimed at teaching vocabulary related to [Theme] in [Target Language]. The lesson should be structured for a classroom setting and cater to intermediate level students. Include activities that promote active engagement, such as word games or interactive quizzes. Provide instructions for each activity, expected learning outcomes, and tips on how to effectively teach and reinforce the new vocabulary.","[Theme]=business etiquette
[Target Language]=French","Lesson Plan: Business Etiquette Vocabulary in French

Level: Intermediate

Objective: To teach students key vocabulary related to business etiquette in French and improve their communication skills in professional settings.

Materials needed: Whiteboard, markers, handouts with vocabulary list, flashcards, computer or projector for multimedia resources.

Duration: 60 minutes

1. Warm-up (10 minutes)
   - Start the lesson by discussing the importance of business etiquette in French culture and professional settings.
   - Introduce the topic by presenting a scenario where good business etiquette is essential.
   - Ask students to brainstorm key phrases or words they think are important in business interactions.

2. Presentation of Vocabulary (15 minutes)
   - Provide students with a handout containing essential vocabulary related to business etiquette in French.
   - Go through each term, pronouncing and explaining their meanings. Include words like ""salutations"" (greetings), ""réunion"" (meeting), ""politesse"" (politeness), ""présentation"" (introduction), ""négociation"" (negotiation), and ""respecter les délais"" (meet deadlines).
   - Use flashcards or multimedia resources to reinforce learning and help students visualize the words.

3. Vocabulary Practice (20 minutes)
   - Divide the class into pairs or small groups.
   - Conduct a role-play activity where students simulate a business meeting using the newly learned vocabulary.
   - Provide scenarios or dialogues for students to practice greetings, introductions, and polite expressions.
   - Encourage students to use the vocabulary naturally in their conversations.

4. Interactive Quiz (10 minutes)
   - Organize a quick quiz to test students' understanding of the business etiquette vocabulary.
   - Display sentences or questions related to the topic on the board and ask students to fill in the blanks with the appropriate words.
   - Reward correct answers and provide explanations for any mistakes to reinforce learning.

5. Wrap-up and Reflection (5 minutes)
   - Review the key vocabulary words covered in the lesson and ask students to share their thoughts on the importance of business etiquette in professional settings.
   - Encourage students to reflect on how they can apply the new vocabulary in their future interactions.

Tips for Effective Teaching:
- Use real-life examples and scenarios to make the vocabulary more relatable and practical for students.
- Encourage active participation through interactive activities like role-plays and quizzes to keep students engaged.
- Provide feedback and corrections during practice sessions to help students improve their language skills.
- Encourage students to use the new vocabulary in their everyday conversations and writing to reinforce retention.

By following this lesson plan, students will not only expand their vocabulary related to business etiquette in French but also gain confidence in using these terms effectively in professional contexts.","[Theme]=ancient history
[Target Language]=Spanish","[Theme]=environmental science
[Target Language]=Japanese"
"Examine the role of loanwords in [Target Language], identifying their sources and impact on the vocabulary and grammar. Discuss how globalization and historical trade relationships have introduced these words. Provide examples of at least five loanwords that have been fully assimilated into [Target Language], detailing their original meanings, current usage, and any changes in form or pronunciation.",[Target Language]=Japanese,"Loanwords, known as ""gairaigo"" in Japanese, play a significant role in the Japanese language due to the country's historical interactions with other cultures and globalization. These loanwords are borrowed from various languages, including English, Portuguese, Dutch, and Chinese, reflecting Japan's history of trade and cultural exchange. The impact of loanwords on the Japanese language is evident in the vocabulary and grammar, as they provide specific terms for modern concepts, technologies, and cultural phenomena that may not have had native equivalents.

One example of a loanword fully assimilated into Japanese is ""コンピューター"" (konpyuutaa), derived from the English word ""computer."" Originally borrowed in the late 1950s, this term is now commonly used in Japanese to refer to computers in general, reflecting the widespread adoption of technology in Japanese society.

Another loanword is ""アルバイト"" (arubaito), from the German word ""Arbeit,"" meaning work or part-time job. In Japanese, ""arubaito"" specifically refers to part-time work, commonly used by students and individuals seeking temporary employment.

""テレビ"" (terebi) is a loanword from the English word ""television,"" which entered Japanese in the 1950s. It is now the standard term for television in Japanese and is used in everyday speech.

The word ""コーヒー"" (koohii) comes from the Dutch word ""koffie"" and is used in Japanese to refer to coffee. Introduced during the Edo period (1603-1868) through Dutch trade, coffee has become an integral part of Japanese culture, with ""koohii"" being the commonly used term for the beverage.

One more example is ""パン"" (pan), from the Portuguese word ""pão,"" meaning bread. Introduced by Portuguese missionaries in the 16th century, ""pan"" is now the standard term for bread in Japanese, reflecting the enduring influence of Portuguese culture on Japanese cuisine.

The assimilation of loanwords into Japanese has led to changes in pronunciation, spelling, and usage to fit the phonetic and grammatical rules of the language. While some loanwords retain their original form, others may undergo modifications to suit the Japanese syllabary or sound patterns.

In conclusion, loanwords have enriched the Japanese language by providing vocabulary for new concepts and technologies, reflecting Japan's global connections and cultural exchange. The assimilation of loanwords into Japanese showcases the language's adaptability and evolution over time, highlighting the influence of historical trade relationships and globalization on Japanese vocabulary and grammar.",[Target Language]=German,[Target Language]=Korean
"Explore the role of [Target Language] in international business. Discuss how fluency in [Target Language] can influence business negotiations, partnerships, and market expansion. Provide case studies or examples from international companies where knowledge of [Target Language] provided a competitive advantage. Examine the strategies companies employ to train their employees in [Target Language] to enhance their global operations.",[Target Language]=Mandarin Chinese,"Mandarin Chinese plays a significant role in international business due to China's growing economy, influence in global markets, and the increasing number of Mandarin speakers worldwide. Fluency in Mandarin can greatly influence business negotiations, partnerships, and market expansion for companies looking to engage with Chinese-speaking clients, suppliers, and stakeholders.

In business negotiations, understanding Mandarin can help build trust and rapport with Chinese partners by demonstrating respect for their language and culture. It can also facilitate clearer communication and help avoid misunderstandings that may arise from translation errors. Additionally, speaking Mandarin can provide insights into the nuances of Chinese business etiquette, which is crucial for building strong relationships in Chinese business settings.

Fluency in Mandarin can also be a competitive advantage when seeking partnerships with Chinese companies. Being able to communicate effectively in Mandarin can help establish a strong foundation for collaboration and foster a deeper understanding of each other's goals and expectations. This can lead to more successful joint ventures, strategic alliances, and business partnerships.

When it comes to market expansion, having employees who are fluent in Mandarin can open up new opportunities in China and other Mandarin-speaking regions. These employees can help navigate the local business environment, understand consumer preferences, and adapt marketing strategies to effectively target Chinese consumers. This can give companies a competitive edge in expanding their presence in the Chinese market and gaining a deeper understanding of the local culture and consumer behavior.

One example of a company that leveraged Mandarin language skills for international business success is the luxury fashion brand Burberry. Burberry's CEO, Angela Ahrendts, emphasized the importance of Mandarin fluency among its employees to enhance relationships with Chinese customers and business partners. By training its staff in Mandarin and incorporating Chinese cultural elements into its marketing campaigns, Burberry was able to strengthen its presence in China and drive significant growth in the region.

To train employees in Mandarin Chinese, companies can offer language classes, immersion programs, cultural training, and opportunities for practice and reinforcement. Some companies may also provide incentives such as language proficiency bonuses or opportunities for advancement for employees who demonstrate proficiency in Mandarin. Additionally, companies can partner with language schools, online platforms, or language training providers to develop customized language programs tailored to their specific business needs.

Overall, fluency in Mandarin Chinese can have a profound impact on international business success by enhancing communication, building relationships, and unlocking new opportunities in the rapidly growing Chinese market. Companies that invest in training their employees in Mandarin can gain a competitive advantage and position themselves for success in the global marketplace.",[Target Language]=Spanish,[Target Language]=French
"Design a language immersion plan for [User], focusing on mastering [Target Language] through practical scenarios. Outline a week-long schedule incorporating various real-life situations such as shopping, dining out, and attending social events. For each scenario, provide key phrases and questions [User] might use, and explain the cultural context behind certain expressions or manners of speaking. Include tips on etiquette and non-verbal communication specific to [Target Language] culture.","[User]=Emily
[Target Language]=Japanese","Language Immersion Plan for Emily: Mastering Japanese Through Practical Scenarios

Day 1: Grocery Shopping
Scenario: Emily is going grocery shopping in a local Japanese market.

Key Phrases and Questions:
1. これはいくらですか？(Kore wa ikura desu ka?) - How much is this?
2. おすすめは何ですか？(Osusume wa nan desu ka?) - What do you recommend?
3. これをください。(Kore o kudasai) - I'll take this, please.

Cultural Context: Politeness is highly valued in Japanese culture. Using phrases like おすすめは何ですか？(What do you recommend?) shows respect for the shopkeeper's expertise.

Etiquette Tip: When receiving change from the cashier, it is polite to use both hands to receive it.

Day 2: Dining Out
Scenario: Emily is having dinner at a traditional Japanese restaurant.

Key Phrases and Questions:
1. いらっしゃいませ。(Irasshaimase) - Welcome!
2. お水をください。(O-mizu o kudasai) - Can I have some water, please?
3. お会計をお願いします。(O-kaikin o onegaishimasu) - Can I have the bill, please?

Cultural Context: Saying いらっしゃいませ (Welcome!) upon entering a restaurant shows appreciation for the hospitality extended to you.

Etiquette Tip: It is customary to say いただきます (I will receive) before starting a meal as a way of expressing gratitude for the food.

Day 3: Public Transportation
Scenario: Emily is taking the train to visit a friend in another city.

Key Phrases and Questions:
1. この電車はどこ行きですか？(Kono densha wa doko-iki desu ka?) - Where does this train go?
2. 乗り換えの駅はどこですか？(Norikae no eki wa doko desu ka?) - Where is the transfer station?
3. 乗車券を買いたいです。(Joushaken o kaitai desu) - I would like to buy a ticket.

Cultural Context: Being respectful of others' personal space and keeping noise levels low is important when using public transportation in Japan.

Etiquette Tip: It is polite to stand in line and wait for others to exit the train before boarding. Rushing or pushing is considered rude.

Day 4: Attending a Tea Ceremony
Scenario: Emily is invited to a traditional Japanese tea ceremony.

Key Phrases and Questions:
1. お茶をいただけますか？(O-cha o itadakemasu ka?) - May I have some tea?
2. いただきます。(Itadakimasu) - I will receive (said before drinking tea).
3. ありがとうございました。(Arigatou gozaimashita) - Thank you (said after the tea ceremony).

Cultural Context: The tea ceremony is a highly ritualized event in Japanese culture, emphasizing mindfulness, respect, and tranquility.

Etiquette Tip: When receiving a bowl of tea, hold it with both hands as a sign of respect.

Day 5: Visiting a Shrine
Scenario: Emily is exploring a traditional Japanese shrine.

Key Phrases and Questions:
1. お参りします。(O-mairi shimasu) - I'll be praying.
2. おみくじを引きたいです。(O-mikuji o hikitai desu) - I would like to draw a fortune slip.
3. おみくじの結果はどうですか？(O-mikuji no kekka wa dou desu ka?) - What does the fortune slip say?

Cultural Context: Shinto shrines are sacred places in Japan where people go to pray for good luck, health, and happiness.

Etiquette Tip: Before entering a shrine, cleanse your hands and mouth at the temizuya using the ladle provided.

Day 6: Socializing with Locals
Scenario: Emily is meeting Japanese friends for a casual gathering.

Key Phrases and Questions:
1. こんにちは、元気ですか？(Konnichiwa, genki desu ka?) - Hello, how are you?
2. 今日は楽しいですね。(Kyou wa tanoshii desu ne) - Today is fun, isn't it?
3. どこから来ましたか？(Doko kara kimashita ka?) - Where are you from?

Cultural Context: Building relationships through small talk and showing genuine interest in others' well-being is an important aspect of Japanese social interactions.

Etiquette Tip: It is customary to bow slightly when greeting someone in Japan. The depth of the bow varies depending on the formality of the situation.

Day 7: Exploring the City
Scenario: Emily is sightseeing in a bustling Japanese city.

Key Phrases and Questions:
1. この場所は何ですか？(Kono basho wa nan desu ka?) - What is this place?
2. 地図を持っていますか？(Chizu o motteimasu ka?) - Do you have a map?
3. お勧めの観光地はありますか？(Osusume no kankouchi wa arimasu ka?) - Do you have any recommended tourist spots?

Cultural Context: Japanese cities are known for their blend of modernity and tradition, with a unique mix of high-tech infrastructure and historic landmarks.

Etiquette Tip: When asking for directions, it is polite to start with a greeting (e.g., こんにちは) before stating your request. Thanking the person for their help is also appreciated.

By immersing yourself in these practical scenarios and using key phrases in real-life situations, you can enhance your language skills and deepen your understanding of Japanese culture. Remember to embrace the customs and etiquette of the language to truly immerse yourself in the experience. Ganbatte kudasai! (Good luck!)","[User]=Carlos
[Target Language]=French","[User]=Anita
[Target Language]=German"
"Create a comprehensive guide for [User Name] to understand the nuances of polite and formal language usage in [Target Language]. Highlight the differences between casual and formal speech, providing specific examples of phrases used in formal situations like business meetings, official ceremonies, and academic contexts. Explain the social rules governing the use of polite forms and honorifics in [Target Language], especially in different settings such as [Social Context].",[User Name]=Michael [Target Language]=Japanese [Social Context]=business meetings,"Guide to Polite and Formal Language Usage in Japanese for Michael in Business Meetings:

Understanding the nuances of polite and formal language in Japanese is crucial for navigating professional settings like business meetings. In Japanese culture, maintaining respect and showing politeness through language is highly valued, especially in formal contexts. Here are some key points and examples to help you master the art of polite and formal language usage in Japanese business meetings:

1. **Use of Honorifics (Keigo)**:
   - Honorific language, known as ""keigo,"" plays a significant role in demonstrating respect in Japanese. There are three main types of keigo: ""sonkeigo"" (respectful language), ""kenjougo"" (humble language), and ""teineigo"" (polite language).
   - When addressing your superiors or clients, use respectful language (sonkeigo). For example, instead of saying ""kiku"" (to listen), you would say ""o-kiku"" in sonkeigo to show respect: ""o-kiku koto ga arimasu ka?"" (Do you have any questions?)
   - When referring to yourself or your own actions, use humble language (kenjougo). For instance, instead of saying ""taberu"" (to eat), you would say ""meshiagaru"" in kenjougo: ""Gochisousama deshita"" (Thank you for the meal).
   - Polite language (teineigo) is generally used in neutral or formal situations. It is essential for maintaining a professional tone in business meetings. For instance, ""sumimasen"" (excuse me) or ""onegai shimasu"" (please) are common polite expressions.

2. **Formal Greetings and Introductions**:
   - When starting a business meeting, it is customary to use formal greetings. ""Hajimemashite, [Your Name] to moushimasu"" (Nice to meet you, I am [Your Name]) is a common introduction.
   - Addressing others respectfully with honorific titles like ""-san"" (Mr./Ms.) is standard practice. For example, ""Tanaka-san, o-genki desu ka?"" (Mr./Ms. Tanaka, how are you?)

3. **Polite Requests and Responses**:
   - When making requests or asking for information, use polite language to show respect. For example, ""Moushiwake gozaimasen ga, chotto shitsumon ga arimasu"" (I'm sorry, but I have a question).
   - Responding to requests with phrases like ""Wakarimashita"" (I understand) or ""Kashikomarimashita"" (Understood) shows professionalism and attentiveness.

4. **Formal Closing Remarks**:
   - At the end of a business meeting, expressing gratitude and respect is essential. ""Arigatou gozaimashita"" (Thank you very much) or ""Doumo arigatou gozaimashita"" (Thank you very much indeed) are appropriate ways to conclude the meeting.
   - Following up with a polite phrase like ""Yoroshiku onegai shimasu"" (I look forward to working with you) demonstrates a positive attitude towards future collaboration.

5. **Non-verbal Cues and Respect**:
   - In Japanese business culture, non-verbal cues such as bowing are important signs of respect. Bowing slightly when greeting or thanking others is customary.
   - Maintaining a calm and collected demeanor, listening attentively, and avoiding confrontational language are also crucial aspects of showing respect in Japanese business meetings.

By mastering the nuances of polite and formal language usage in Japanese for business meetings, you can effectively communicate respect, professionalism, and cultural awareness in your professional interactions. Practice these phrases and strategies to enhance your communication skills and build strong relationships in the Japanese business world.",[User Name]=Anna [Target Language]=Korean [Social Context]=university lectures,[User Name]=Carlos [Target Language]=German [Social Context]=government events
"Design a cultural immersion plan for [User Name] who is studying [Target Language]. Highlight cultural events, traditions, or practices that can enhance [User Name]'s language learning experience. Recommend media such as films, music, or television shows from [Target Language] culture, and explain how these can aid in understanding both the language and the cultural context. Suggest ways to interact with native speakers, including online forums, language exchange meetups, or travel opportunities if applicable.",[User Name]=Michael [Target Language]=Italian,"Cultural Immersion Plan for Michael studying Italian:

1. Cultural Events & Traditions:
- Attend Italian festivals and cultural events in your local area, such as Italian food festivals, opera performances, or art exhibits showcasing Italian artists.
- Celebrate Italian holidays like Carnevale, Ferragosto, and Festa della Repubblica by learning about their significance and participating in related activities.

2. Media Recommendations:
- Watch Italian films like ""La vita è bella"" (Life is Beautiful), ""Cinema Paradiso,"" and ""Il Postino"" to immerse yourself in Italian storytelling and improve your listening skills.
- Listen to Italian music across genres like classical opera (e.g., Pavarotti), contemporary pop (e.g., Tiziano Ferro), and traditional folk music to enhance your language comprehension and cultural understanding.
- Explore Italian TV shows such as ""Gomorrah,"" ""Suburra: Blood on Rome,"" and ""The Young Pope"" to gain insights into Italian society and colloquial language.

3. Interacting with Native Speakers:
- Join online language exchange platforms like Tandem, HelloTalk, or iTalki to practice Italian with native speakers and receive feedback on your language skills.
- Attend Italian language meetups or conversation groups in your area to interact with native speakers face-to-face and practice speaking in real-life scenarios.
- Consider traveling to Italy for a language immersion experience, such as enrolling in a language school or participating in a homestay program to fully immerse yourself in the language and culture.

By actively engaging with Italian cultural events, media, and native speakers, Michael can enhance his language learning experience and gain a deeper understanding of Italian culture. Buona fortuna!",[User Name]=Samantha [Target Language]=Japanese,[User Name]=Carlos [Target Language]=Portuguese
"Design a cultural immersion plan for [User] focusing on mastering [Target Language]. Include a schedule for engaging with native speakers, attending local events, and consuming media in [Target Language]. Propose methods to overcome language barriers and adapt to cultural differences. Recommend specific types of media (films, music, books) and social settings that can accelerate language acquisition while providing insights into the culture associated with [Target Language].","[User]=Emily
[Target Language]=Japanese","Cultural Immersion Plan for Emily to Master Japanese:

Week 1:
- Engage with native speakers: Join a language exchange program or find a conversation partner online to practice speaking and listening skills.
- Attend local events: Visit a Japanese cultural festival or exhibition in your city to immerse yourself in Japanese traditions and customs.
- Media consumption: Watch Japanese movies with English subtitles to familiarize yourself with the language and culture. Some recommendations include ""Spirited Away"" and ""Your Name.""
- Language barriers: Use language learning apps like Duolingo or Rosetta Stone to supplement your studies and improve vocabulary retention.
- Cultural differences: Research Japanese etiquette and social norms to better understand how to interact with native speakers.

Week 2:
- Engage with native speakers: Attend a Japanese language meetup or language exchange event to practice conversational skills in a social setting.
- Attend local events: Participate in a Japanese cooking class or tea ceremony workshop to learn about traditional Japanese cuisine and rituals.
- Media consumption: Listen to Japanese music and podcasts to improve your listening skills and pronunciation. Some recommendations include songs by Utada Hikaru and podcasts like ""Nihongo con Teppei.""
- Language barriers: Practice writing Japanese characters (hiragana, katakana, and kanji) daily to improve reading and writing skills.
- Cultural differences: Engage in cultural activities like calligraphy or Ikebana (flower arranging) to gain insights into Japanese aesthetics and artistic traditions.

Week 3:
- Engage with native speakers: Volunteer at a local Japanese community center or cultural event to interact with native speakers in a more informal setting.
- Attend local events: Participate in a traditional Japanese tea ceremony or ikebana workshop to deepen your understanding of Japanese customs and rituals.
- Media consumption: Read Japanese manga or novels to improve your reading comprehension and vocabulary. Some recommendations include ""Norwegian Wood"" by Haruki Murakami or manga series like ""One Piece"" or ""Naruto.""
- Language barriers: Practice speaking Japanese with a tutor or language partner to receive feedback on pronunciation and fluency.
- Cultural differences: Engage in activities like karaoke or attending a Japanese tea ceremony to experience Japanese social customs firsthand.

Overall, immersing yourself in the Japanese language and culture through various activities, events, and media consumption will accelerate your language acquisition and provide valuable insights into Japanese society. Remember to be open-minded, curious, and proactive in your approach to learning Japanese, and don't hesitate to ask questions and seek guidance from native speakers and cultural experts. Good luck on your Japanese language mastery journey, Emily!","[User]=Carlos
[Target Language]=French","[User]=Anita
[Target Language]=German"
"Construct a detailed guide on the etiquette and subtleties of formal communications in [Target Language]. Include sections on greeting and addressing individuals of different social standings, the appropriate use of honorifics, and tips for writing formal letters and emails. Highlight key phrases and their contexts. Compare these practices with those in [User's Native Language], providing examples of both similarities and differences.","[Target Language]=Japanese
[User's Native Language]=English","Guide to Formal Communications in Japanese:

1. Greetings and Addressing Individuals:
- When greeting someone in a formal setting, it is customary to bow as a sign of respect. The depth of the bow can vary depending on the situation and the person's status.
- Addressing individuals with the appropriate honorifics is crucial in Japanese culture. For example, using ""san"" after someone's name (e.g., Tanaka-san) is a common way to show respect in formal settings. 
- When addressing someone of higher status or authority, it is important to use their title followed by their last name, such as ""Sensei"" for a teacher or ""Shachou"" for a company president.

2. Honorifics:
- In Japanese, honorifics play a significant role in formal communications. Using titles like ""sama"" for utmost respect or ""sensei"" for teachers, doctors, or professionals is common.
- When writing or speaking to someone of higher status, using honorifics like ""O-"" (meaning honorable) before their title or name is a sign of respect and formality.

3. Writing Formal Letters and Emails:
- Begin your letter or email with a formal greeting, such as ""拝啓"" (Haikei) for letters or ""いつもお世話になっております"" (Itsumo osewa ni natte orimasu) for emails.
- Use polite language and honorifics throughout your message to show respect to the recipient.
- End your letter or email with a formal closing, such as ""敬具"" (Keigu) for letters or ""何卒よろしくお願い申し上げます"" (Nanitozo yoroshiku onegai moushiagemasu) for emails.

Comparison with English:
- In English, formal greetings often involve using titles like Mr., Mrs., or Dr. before someone's last name. While bowing is not a common practice, a firm handshake and maintaining eye contact are considered polite.
- Honorifics are not as prevalent in English as they are in Japanese. Addressing someone simply by their last name is common in formal settings.
- When writing formal letters or emails in English, it is customary to use phrases like ""Dear Sir/Madam"" or ""Yours sincerely"" or ""Yours faithfully"" at the end of the message.

Overall, both Japanese and English formal communication share the goal of showing respect and courtesy to the recipient. However, the specific language, honorifics, and gestures used may differ between the two cultures.","[Target Language]=Korean
[User's Native Language]=Spanish","[Target Language]=French
[User's Native Language]=German"
"Create a comprehensive guide for expressing emotions and feelings in [Target Language]. The guide should include a variety of emotions ranging from basic (e.g., happy, sad) to complex (e.g., nostalgic, elated). For each emotion, provide the appropriate expression in [Target Language], its direct translation, and a common situation or scenario where it might be used. Additionally, include tips on body language and facial expressions typical to [Target Language] culture that accompany these emotions.",[Target Language]=Korean,"Guide to Expressing Emotions and Feelings in Korean

1. Happy
- Korean Expression: 행복해요 (haengboghaeyo)
- Translation: I am happy.
- Common Situation: You can use this expression when you receive good news, achieve a goal, or simply feel content and joyful.
- Body Language and Facial Expressions: A smile is universally understood as a sign of happiness. In Korean culture, a slight bow or nod of the head can also accompany this expression to show gratitude or respect.

2. Sad
- Korean Expression: 슬퍼요 (seulpeoyo)
- Translation: I am sad.
- Common Situation: Use this expression when you experience loss, disappointment, or heartache.
- Body Language and Facial Expressions: Koreans may lower their gaze, sigh, or show a downward curve of the lips to express sadness. It is also common to touch the chest or cover the face with hands as a gesture of sorrow.

3. Angry
- Korean Expression: 화나요 (hwanayo)
- Translation: I am angry.
- Common Situation: This expression is used when you feel frustrated, irritated, or outraged.
- Body Language and Facial Expressions: Raised voice, furrowed brows, and clenched fists are typical signs of anger in Korean culture. Avoiding eye contact or turning away can also indicate displeasure.

4. Excited
- Korean Expression: 신이 나요 (shini nayo)
- Translation: I am excited.
- Common Situation: Use this expression when you are thrilled, eager, or looking forward to something.
- Body Language and Facial Expressions: Wide eyes, a bright smile, and animated gestures like clapping or jumping can convey excitement in Korean culture. Nodding vigorously or leaning forward can also show enthusiasm.

5. Nostalgic
- Korean Expression: 그리워요 (geuriwoyo)
- Translation: I miss it/them.
- Common Situation: Use this expression when you feel wistful or long for something or someone from the past.
- Body Language and Facial Expressions: Koreans may gaze into the distance, sigh softly, or have a gentle smile while reminiscing. Holding onto an object associated with the past or closing the eyes can also evoke nostalgia.

6. Anxious
- Korean Expression: 초조해요 (chojohaeyo)
- Translation: I am anxious.
- Common Situation: Use this expression when you feel worried, nervous, or uneasy about a future event or outcome.
- Body Language and Facial Expressions: Koreans may fidget, bite their nails, or pace back and forth when anxious. Avoiding eye contact, rubbing the temples, or tapping fingers can also indicate restlessness.

7. Elated
- Korean Expression: 환희에 가득해요 (hwanhui-e gadeukhaeyo)
- Translation: I am filled with joy.
- Common Situation: Use this expression when you feel overjoyed, ecstatic, or jubilant.
- Body Language and Facial Expressions: Koreans may throw their arms up in the air, laugh heartily, or even shed tears of happiness when elated. Hugging or high-fiving others is a common gesture to share the joy.

8. Frustrated
- Korean Expression: 답답해요 (dapdaphaeyo)
- Translation: I am frustrated.
- Common Situation: Use this expression when you feel annoyed, exasperated, or unable to achieve your goals.
- Body Language and Facial Expressions: Koreans may clench their teeth, sigh heavily, or shake their head in frustration. Rubbing the forehead or temples, crossing arms, or pacing can also show irritation.

Remember that non-verbal cues are just as important as verbal expressions in Korean culture. Pay attention to body language, tone of voice, and facial expressions to fully convey your emotions and feelings. Practice using these expressions in various situations to become more proficient in expressing yourself in Korean.",[Target Language]=Japanese,[Target Language]=German
"Design a comprehensive infographic that outlines the phonetic system of [Target Language], including its consonants, vowels, and any unique sounds. Detail how these sounds influence pronunciation and can affect meaning, using specific words as examples. Additionally, compare these phonetic features with those of [Comparative Language], highlighting both similarities and differences. Ensure to incorporate visual symbols or IPA (International Phonetic Alphabet) to represent each sound clearly.",[Target Language]=Korean [Comparative Language]=Japanese,"Phonetic System: Korean vs. Japanese

Consonants:
1. Korean: ㄱ [k], ㄴ [n], ㄷ [t], ㄹ [ɾ/l], ㅁ [m]
   Example: 갈 [kal] (go), 달 [tal] (moon)
2. Japanese: か [ka], な [na], た [ta], ら [ɾa], ま [ma]
   Example: かわいい [kawaii] (cute), なつ [natsu] (summer)

Vowels:
1. Korean: ㅏ [a], ㅓ [ʌ], ㅗ [o], ㅜ [u], ㅡ [ɯ]
   Example: 바다 [bada] (sea), 서울 [sʌul] (Seoul)
2. Japanese: あ [a], え [e], お [o], う [u], い [i]
   Example: さようなら [sayonara] (goodbye), ねこ [neko] (cat)

Unique Sounds:
1. Korean: ㅃ [p͈], ㄲ [k͈], ㅉ [t͈], ㄸ [t͈], ㅆ [s͈]
   Example: 빨갛다 [ppalgatda] (red), 꽃 [k͈ot] (flower)
2. Japanese: ん [n/m/ŋ], っ [gemination], を [wo], ふ [ɸ], ゐ [i]
   Example: こんにちは [konnichiwa] (hello), ふね [ɸune] (ship)

Comparison:
- Both Korean and Japanese share similar basic consonant and vowel sounds.
- Korean has tense consonants (ㄲ, ㄸ) and double consonants (ㅆ), while Japanese has gemination (っ) for elongated sounds.
- Japanese has unique sounds like ん [n/m/ŋ], を [wo], and ふ [ɸ], which differ from Korean phonetics.

Understanding the phonetic system of Korean and Japanese can improve pronunciation and enhance language learning. Practice these sounds with various words to master them effectively.",[Target Language]=French [Comparative Language]=Spanish,[Target Language]=Russian [Comparative Language]=German
"Create a detailed guide for understanding and using idiomatic expressions in [Target Language]. For each of the [Number] idioms, provide its literal translation, common usage, and a brief history or origin story. Illustrate with example sentences how each idiom is applied in practical scenarios. Additionally, discuss how these idioms reflect the cultural values or historical aspects of the communities speaking [Target Language].","[Target Language]=French
[Number]=5","### Guide to Understanding and Using French Idiomatic Expressions

Idiomatic expressions are an integral part of language and culture, providing insight into the values, history, and everyday life of a community. In French, idioms add color, humor, and depth to communication. Understanding and using these expressions can enhance language proficiency and cultural appreciation. Below are five common French idiomatic expressions, their literal translations, common usage, historical origins, and examples of how they are used in context.

---

#### 1. **""Avoir le cafard""**
   - **Literal Translation:** To have the cockroach.
   - **Meaning:** To feel down or depressed.
   - **Origin:** This expression originated in the 19th century and refers to the idea that when someone is feeling low, it's as if they have a cockroach inside them.
   - **Example:** ""Depuis qu'il a perdu son emploi, il a le cafard."" (Since he lost his job, he has been feeling down.)

#### 2. **""Appuyer sur le champignon""**
   - **Literal Translation:** To press on the mushroom.
   - **Meaning:** To step on the gas, to accelerate.
   - **Origin:** This expression comes from the idea of pressing on the mushroom-shaped accelerator pedal in a car.
   - **Example:** ""On est en retard, il faut appuyer sur le champignon!"" (We are late, we need to step on the gas!)

#### 3. **""Tomber dans les pommes""**
   - **Literal Translation:** To fall into the apples.
   - **Meaning:** To faint.
   - **Origin:** This expression dates back to the 19th century and refers to the idea of someone fainting and falling into a pile of apples.
   - **Example:** ""Quand elle a vu le sang, elle est tombée dans les pommes."" (When she saw the blood, she fainted.)

#### 4. **""Avoir la moutarde qui monte au nez""**
   - **Literal Translation:** To have mustard rising to the nose.
   - **Meaning:** To start feeling angry.
   - **Origin:** This expression comes from the belief that when someone gets angry, their face turns red and hot like when eating spicy mustard.
   - **Example:** ""Attention, il a la moutarde qui lui monte au nez!"" (Be careful, he's starting to get angry!)

#### 5. **""Casser les pieds à quelqu'un""**
   - **Literal Translation:** To break someone's feet.
   - **Meaning:** To annoy or bother someone.
   - **Origin:** This expression is believed to come from the idea that annoying someone so much could make them feel like their feet are broken.
   - **Example:** ""Arrête de me casser les pieds avec tes excuses!"" (Stop bothering me with your apologies!)

---

French idiomatic expressions like these reflect a mix of historical contexts, cultural references, and linguistic creativity. By understanding and using these idioms, learners can deepen their connection to the French language and its rich cultural heritage. Incorporating idiomatic expressions into conversations adds flair and authenticity, enhancing language proficiency and communication skills.","[Target Language]=Japanese
[Number]=10","[Target Language]=Italian
[Number]=3"
